,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,$10 Cowboy,"$10 Cowboy is the twelfth album by American singer Charley Crockett, released on April 26, 2024, through Son of Davy and distributed by Thirty Tigers. It was produced by Crockett and Billy Horton. The album received positive reviews from critics, and was nominated for the Grammy Award for Best Americana Album, Crockett's first nomination.",Patrick Heaphy,,"Son of Davy, LCM247","Charley Crockett, Taylor Day Grace, The Blue Drifters",,,"October 24, 2025(Austin Film Festival)",United States,English
1,2K Love Story,"2K Love Story is a 2025 Indian Tamil-language romantic comedy drama film written and directed by Suseenthiran.[2] The film stars a debuted actor, Jagaveer in the lead role opposite Meenakshi Govindarajan as the female lead, alongside Bala Saravanan, Antony Bhagyraj, Jayaprakash, Vinodhini Vaidyanathan and others in supporting roles.[3] The film is produced by Vignesh Subramanian under City Light Pictures and the technical crew comprises D. Imman as the music composer, V. S. Anandha Krishna as the cinematographer, and Thiyagu as the editor.[4]",Suseenthiran,Suseenthiran,"Vignesh Subramanian, G. Dhananjayan, (presenter)","Jagaveer, Meenakshi Govindarajan, Bala Saravanan",V. S. Anandha Krishna,Thiyagu,14 February 2025,India,Tamil
2,3BHK,"3BHK[a] is a 2025 Indian Tamil-language coming-of-age drama film written and directed by Sri Ganesh and produced by Arun Viswa under Shanthi Talkies. Based on the short story 3BHK Veedu (transl. 3BHK house) by Aravindh Sachidanandam, the film stars Siddharth, R. Sarathkumar, Devayani, Meetha Raghunath and Chaithra, with Yogi Babu, Subbu Panchu, Vivek Prasanna and Thalaivasal Vijay in supporting roles. It follows the prolonged struggles of a family to purchase a three-bedroom house while dealing with their personal problems.",Sri Ganesh,,Arun Viswa,"Siddharth, R. Sarathkumar, Devayani, Meetha Raghunath, Chaithra","Dinesh B. Krishnan, Jithin Stanislaus",Ganesh Siva,4 July 2025,India,Tamil
3,The 4 Rascals,The film revolves around a love triangle.,Tran Thanh,,,"Tran Thanh, Le Duong Bao Lam, Le Giang, Uyen An, Quoc Anh, Tieu Vi, Ky Duyen",,,29 January 2025(Vietnam),Vietnam,Vietnamese
4,4 Tigers,"This film is part of the Khun Pan universe, serving as the first chapter that tells the heroic stories of the four central tigers: Suea Fai, Suea Mahesuan, Suea Bai, and Suea Dam, before they become the major rivals of the sorcerer Khun Pantharak Ratchadet in the Khun Pan trilogy.[3] In this film, the actor who plays the role of 'Suea Fai' has been changed from Lieutenant General Wanchana Sawasdee, who previously played the role in Khun Pan 2 and Khun Pan 3, to Sukollawat Kanaros.",Kongkiat Komesiri,"Sukosin Akkrapat, Nakarin Gakhan, Kongkiat Komesiri, Kritmongkol Pienthong",Somsak Techarattanaprasert,"Sukollawat Kanaros, Mario Maurer, Arak Amornsupasiri, Phakin Khamwilaisak, Matchanat Suwannamas, Thotsapol Maisuk, Phonlawat Manuprasert",,,"October 23, 2025",Thailand,"Thai, Teochew"
5,6 Journey,"6 Journey is a 2025 Telugu language film directed by Basheer Aluri, and produced by Palayam Ravi Prakash Reddy.[3]",Basheer Aluri,Basheer Aluri,"Palayam Ravi Prakash Reddy, [, 2, ]","Sameer Datta, Pallavi Rathod, Palayam Ravi Prakash Reddy, Ramya Reddy, Tasty Teja, Sanjay Acharya, Borra Abhiram, Sahithi Chilla",T Surendra Reddy,Narapinni Srinubabu,"May 9, 2025",India,Telugu
6,8,"8 is a 2025 Spanish historical drama film written, directed, produced and edited by Julio Medem and starring Javier Rey and Ana Rujas.",Julio Medem,Julio Medem,"Álvaro Longoria, Rodrigo Espinel, Julio Medem","Ana Rujas, Javier Rey, Tamar Novas, Loreto Mauleón, Carla Díaz, María Isasi, Mateo Medina, Oriol Riera, Asier Burguete, Patxi Barco, Kandido Uranga, Javier Morgade, Andoni Agirregomezkorta, Álvaro Morte",Rafa Reparaz,Julio Medem,16 March 2025(Málaga),Spain,Spanish
7,8 Vasantalu,"8 Vasantalu (transl. Eight Springs) is a 2025 Indian Telugu-language coming-of-age romantic drama film written and directed by Phanindra Narsetti, and produced by Mythri Movie Makers.[1] The film features Ananthika Sanilkumar, Hanu Reddy and Raviteja Duggirala in leading roles.[2]",Phanindra Narsetti,Phanindra Narsetti,"Naveen Yerneni, Y. Ravi Shankar","Ananthika Sanilkumar, Hanu Reddy, Raviteja Duggirala, Kanna Pasunoori",Vishwanath Reddy Chelumalla,Shashank Mali,20 June 2025,India,Telugu
8,10Dance,"10Dance (Japanese: テンダンス, Hepburn: Tendansu) is a 2025 Japanese boys' love film, based on the manga of the same name by Inouesatoh,[2] directed by Keishi Ōtomo, starring Ryoma Takeuchi and Keita Machida.[3][1] The film was released on Netflix on December 18, 2025.[1][4][5] In the first week of its release, 10Dance became the 4th most watched non-English film on the platform, with 2,6 million views.[6] The movie was partially filmed in Blackpool, United Kingdom.[7]",Keishi Ōtomo,,"Takako Miauchi, Kota Ishizuka","Ryoma Takeuchi, Keita Machida, Shiori Doi, Anna Ishii",,,"December 18, 2025",Japan,Japanese
9,12A Railway Colony,12A Railway Colony is a 2025 Indian Telugu-language horror crime thriller film edited and directed by Nani Kasaragadda.[1] The film stars Allari Naresh and Kamakshi Bhaskarla in lead roles.[2],Nani Kasaragadda,Anil Vishwanath,Srinivasaa Chitturi,"Allari Naresh, Kamakshi Bhaskarla",Kushendar Ramesh Reddy,Nani Kasaragadda,21 November 2025,India,Telugu
